"company_name","nombre_empleado","cantidad_pedidos"
"Bottom-Dollar Markets","Nancy","2"
"Tortuga Restaurante","Andrew","2"
"Gourmet Lanchonetes","Margaret","2"
"La maison d'Asie","Laura","2"
"Folk och fä HB","Janet","2"
"Que Delícia","Michael","2"
"Save-a-lot Markets","Laura","4"
"Franchi S.p.A.","Andrew","2"
"Save-a-lot Markets","Nancy","6"
"Familia Arquibaldo","Margaret","2"
"Océano Atlántico Ltda.","Robert","2"
"Ottilies Käseladen","Margaret","4"
"Folk och fä HB","Margaret","2"
"Berglunds snabbköp","Anne","2"
"Romero y tomillo","Margaret","3"
"QUICK-Stop","Laura","4"
"Blauer See Delikatessen","Anne","3"
"Antonio Moreno Taquería","Janet","3"
"Vins et alcools Chevalier","Andrew","2"
"Ernst Handel","Nancy","5"
"Folk och fä HB","Laura","6"
"Eastern Connection","Laura","2"
"Victuailles en stock","Nancy","2"
"Die Wandernde Kuh","Laura","4"
"Richter Supermarkt","Janet","2"
"Richter Supermarkt","Robert","2"
"Ernst Handel","Laura","4"
"Du monde entier","Robert","2"
"LINO-Delicateses","Andrew","2"
"Around the Horn","Janet","2"
"Reggiani Caseifici","Anne","2"
"Old World Delicatessen","Laura","3"
"Cactus Comidas para llevar","Laura","2"
"Que Delícia","Laura","2"
"Frankenversand","Nancy","5"
"Save-a-lot Markets","Robert","3"
"Königlich Essen","Janet","2"
"Ernst Handel","Janet","4"
"LINO-Delicateses","Nancy","2"
"Magazzini Alimentari Riuniti","Nancy","2"
"Queen Cozinha","Michael","3"
"Great Lakes Food Market","Margaret","4"
"Eastern Connection","Robert","2"
"Antonio Moreno Taquería","Robert","2"
"Reggiani Caseifici","Nancy","2"
"Wolski  Zajazd","Nancy","2"
"Berglunds snabbköp","Nancy","4"
"HILARION-Abastos","Janet","2"
"LINO-Delicateses","Laura","2"
"Königlich Essen","Andrew","2"
"Toms Spezialitäten","Michael","2"
"Tradição Hipermercados","Margaret","2"
"Around the Horn","Anne","2"
"Bottom-Dollar Markets","Andrew","2"
"LILA-Supermercado","Janet","3"
"Piccolo und mehr","Robert","2"
"Königlich Essen","Nancy","4"
"Laughing Bacchus Wine Cellars","Andrew","2"
"HILARION-Abastos","Nancy","2"
"Wartian Herkku","Steven","2"
"Ricardo Adocicados","Margaret","3"
"Frankenversand","Laura","3"
"HILARION-Abastos","Robert","3"
"Bottom-Dollar Markets","Margaret","2"
"White Clover Markets","Laura","2"
"Wolski  Zajazd","Margaret","2"
"Magazzini Alimentari Riuniti","Laura","2"
"Rattlesnake Canyon Grocery","Nancy","5"
"Wellington Importadora","Janet","3"
"Ricardo Adocicados","Andrew","2"
"Queen Cozinha","Margaret","2"
"Wartian Herkku","Andrew","3"
"Wilman Kala","Andrew","3"
"Reggiani Caseifici","Margaret","3"
"La maison d'Asie","Andrew","2"
"LILA-Supermercado","Steven","2"
"Blondesddsl père et fils","Michael","2"
"Split Rail Beer & Ale","Laura","2"
"Split Rail Beer & Ale","Janet","2"
"Bólido Comidas preparadas","Margaret","2"
"Berglunds snabbköp","Janet","6"
"Toms Spezialitäten","Janet","2"
"Eastern Connection","Margaret","2"
"Königlich Essen","Anne","4"
"Split Rail Beer & Ale","Nancy","2"
"Furia Bacalhau e Frutos do Mar","Margaret","3"
"Lehmanns Marktstand","Laura","3"
"Simons bistro","Robert","3"
"Rattlesnake Canyon Grocery","Margaret","2"
"Queen Cozinha","Laura","3"
"HILARION-Abastos","Laura","3"
"Wartian Herkku","Margaret","2"
"Victuailles en stock","Janet","3"
"North/South","Janet","2"
"Hungry Owl All-Night Grocers","Anne","3"
"Around the Horn","Nancy","3"
"Ricardo Adocicados","Steven","2"
"HILARION-Abastos","Margaret","5"
"Richter Supermarkt","Anne","2"
"Que Delícia","Margaret","2"
"Folk och fä HB","Michael","2"
"Bon app'","Laura","2"
"Eastern Connection","Nancy","2"
"Alfreds Futterkiste","Margaret","2"
"Pericles Comidas clásicas","Andrew","2"
"Ernst Handel","Margaret","5"
"La maison d'Asie","Margaret","2"
"Suprêmes délices","Margaret","4"
"Que Delícia","Andrew","2"
"LINO-Delicateses","Margaret","2"
"Tortuga Restaurante","Nancy","4"
"Piccolo und mehr","Andrew","3"
"Victuailles en stock","Margaret","2"
"Godos Cocina Típica","Robert","3"
"Lehmanns Marktstand","Robert","3"
"Morgenstern Gesundkost","Janet","2"
"Frankenversand","Margaret","4"
"Hungry Owl All-Night Grocers","Janet","5"
"Hanari Carnes","Margaret","3"
"Vaffeljernet","Laura","2"
"Save-a-lot Markets","Andrew","4"
"Rattlesnake Canyon Grocery","Steven","2"
"Ernst Handel","Andrew","3"
